Soil,Treatment,Yield,Puptake,Precovery,PUE,PO4,ResinP,WaterSolP,pH,EC,OC,CharPRate,CharPerc
Haverhill,Control,2.19,2.2,NA,,4.56,0.01,1.5,7.83,0.306,1.32,NA,NA
Haverhill,Control,3.42,3.32,NA,,6.66,0.01,2.65,7.85,0.275,1.5,NA,NA
Haverhill,Control,1.55,1.32,NA,,6.59,0.02,2,7.78,0.321,1.38,NA,NA
Haverhill,Control,3.23,3.32,NA,,8.41,,3,7.86,0.237,1.61,NA,NA
Haverhill,CanolaMeal50kgha,6.63,8.85,25.23,161.3,8.86,0.08,2.75,7.86,0.232,1.55,25000,3.04
Haverhill,CanolaMeal50kgha,6.55,10.55,32.04,158.1,8.55,0.09,2.35,7.89,0.216,1.51,25001,3.041
Haverhill,CanolaMeal50kgha,5.88,7.48,19.76,131.3,8.53,0.06,2.35,7.88,0.211,1.69,24999,3.039
Haverhill,CanolaMeal50kgha,3.13,2.93,1.58,21.3,,0.02,1.8,7.8,0,1.44,25000,3.04
Haverhill,CanolaHull50kgha,7.85,9.15,26.45,210.1,8.35,0.06,2.1,7.86,0.261,1.91,25000,0.55
Haverhill,CanolaHull50kgha,5.61,7.01,17.88,120.5,8.79,0.07,2.05,7.85,0.283,1.84,25001,0.551
Haverhill,CanolaHull50kgha,6.44,7.81,21.1,153.7,9.31,0.05,2.2,7.87,0.278,1.89,24999,0.549
Haverhill,CanolaHull50kgha,6.79,10.78,32.96,167.7,9.88,0.06,1.95,7.88,0.28,,25000,0.55
Haverhill,Manure50kgha,6.14,9.89,29.41,141.7,9.35,0.09,2.35,7.9,0.208,1.64,25000,2.17
Haverhill,Manure50kgha,3.55,NA,NA,38.1,10.86,0.16,2.8,7.91,0.237,1.92,25001,2.171
Haverhill,Manure50kgha,7.26,9.96,29.7,186.5,10.4,0.06,2.6,7.91,0.216,1.71,24999,2.169
Haverhill,Manure50kgha,7.24,9.56,28.08,185.7,10.09,0.09,2.45,7.9,0.225,1.76,25000,2.17
Haverhill,Willow50kgha,8.25,14.74,48.8,226.1,9.06,0.09,2.65,7.93,0.209,2.87,25000,0.17
Haverhill,Willow50kgha,8.36,13.14,42.41,230.5,10.23,0.11,2.9,7.9,0.223,3.4,25001,0.171
Haverhill,Willow50kgha,8.1,14.87,49.34,220.1,11.13,0.18,3,7.93,0.202,2.23,24999,0.169
Haverhill,Willow50kgha,8,13.87,45.33,216.1,8.48,0.05,2.15,7.94,0.2,2.02,25000,0.17
Haverhill,CanolaMeal10tha,9.78,11.89,6.15,47.25,9.41,0.06,3,7.93,0.218,1.95,152000,3.04
Haverhill,CanolaMeal10tha,7.71,15.6,8.6,33.63,9.29,0.11,2.45,7.96,0.201,1.97,151999,3.041
Haverhill,CanolaMeal10tha,8.35,14.36,7.78,37.85,8.84,0.06,2.05,7.96,0.196,,152001,3.039
Haverhill,CanolaMeal10tha,8.84,13.52,7.23,41.07,10.07,0.1,2.7,7.94,0.225,1.96,15200,3.04
Haverhill,CanolaHull10tha,6.92,9.35,24.78,157.18,11.08,0.06,2.25,7.9,0.309,1.84,27500,0.55
Haverhill,CanolaHull10tha,7.45,10.35,28.4,176.45,8.08,0.04,2.05,7.94,0.282,1.84,27501,0.551
Haverhill,CanolaHull10tha,8.31,11.15,31.32,207.73,9.59,0.09,2.15,7.99,0,,27499,0.549
Haverhill,CanolaHull10tha,8.89,12.39,35.82,228.82,9.24,0.08,1.85,7.96,0.286,1.85,27500,0.55
Haverhill,Manure10tha,8.94,17.79,14.05,58.46,13.38,0.25,3.95,7.99,0.247,1.85,108500,2.17
Haverhill,Manure10tha,7.17,14.44,10.97,42.14,17.73,0.15,4.7,8.03,0.243,1.89,108501,2.171
Haverhill,Manure10tha,9.12,19.11,15.28,60.12,10.19,0.2,3.65,8.03,0.234,1.81,108499,2.169
Haverhill,Manure10tha,8.44,17.26,13.57,53.85,15.3,0.2,3.65,8.04,0.247,,108500,2.17
Haverhill,Willow10tha,7.56,8.57,71.01,583.82,6.24,0.06,1.8,8.05,0.189,1.72,78500,0.17
Haverhill,Willow10tha,7.51,10.47,93.27,577.94,7.97,0.04,2,8.04,0.203,1.82,78501,0.171
Haverhill,Willow10tha,7.12,10.2,90.1,532.06,9.6,0.09,2.35,8.02,0.216,1.74,78499,0.169
Haverhill,Willow10tha,7.15,12.44,116.44,535.59,7.36,0.06,2.15,8.04,0.21,2.14,78500,0.17
Haverhill,CanolaMeal10thaTSP,NA,17.92,8.69,-14.68,10.72,0.27,3.15,8.03,0.213,2.1,177000,3.04
Haverhill,CanolaMeal10thaTSP,10.75,21.69,10.82,46.06,13.02,0.1,3.85,8.02,0.209,,177001,3.041
Haverhill,CanolaMeal10thaTSP,10.69,20.37,10.08,45.72,11.6,0.13,3.65,8.01,0.237,2.11,176999,3.039
Haverhill,CanolaMeal10thaTSP,10.81,22.1,11.05,46.4,13.64,0.26,3.5,8.05,0.217,2.09,177000,3.04
Haverhill,CanolaHull10thaTSP,8.99,NA,NA,121.76,9.81,0.05,2.55,8,0.272,2.07,52500,0.55
Haverhill,CanolaHull10thaTSP,9.69,19.92,33.11,135.1,13.04,0.11,4.15,7.96,0.285,1.93,52501,0.551
Haverhill,CanolaHull10thaTSP,8.84,19.43,32.17,118.9,12.89,0.08,4.7,7.98,0.312,2.01,52499,0.549
