Block,Treatment ,FStraw,FGrain,Yield,BDwet,MoistWet,BDdry,MoistDry,Nuptake,Nrecovery,NUE,Puptake,Precovery,PUE,NO3_10,PO4_10,WatSolP_10,ResinP_10,pH_10,EC_10,OC_10,NO3_20,PO4_20,WatSolP_20,ResinP_20,pH_20,EC_20,OC_20,NO3_30,PO4_30,WatSolP_30,ResinP_30,pH_30,EC_30,OC_30,LNO3,LNH4,LPO4,ResinPO4,ResinNO3
Block1,Biochar10tha,2201.6,394,2595.6,1.24,0.38,1.25,0.03,65.33,1.44,1.44,5.73,-8.18,51.74,10.95,,4.15,,6.89,0.16,2.14,10.94,2.59,0.60,0.07,6.95,0.17,1.36,,2.17,1.80,0.02,7.09,0.41,1.11,7.189,0.104,0.00012,0.222,5.99
Block2,Biochar10tha,2889.2,513.4,3402.6,1.25,0.52,1.02,0.03,66.33,2.15,2.15,9.59,14.53,99.21,9.20,18.41,5.75,0.61,6.91,0.16,2.47,4.57,5.67,3.05,0.13,7.00,0.15,1.64,4.45,3.30,3.60,0.00,7.54,0.94,0.97,2.661,0.018,0.00450,0.326,6.00
Block3,Biochar10tha,1904.2,336.4,2240.6,1.21,0.47,1.26,0.03,57.47,-4.06,NA,6.43,-4.08,30.86,13.12,21.64,6.95,0.62,,0.27,1.92,5.25,5.32,2.10,0.18,6.84,0.16,1.41,6.11,2.80,0.25,0.00,7.27,1.68,,,,,,
Block4,Biochar10tha,1946.6,387.4,2334,,0.49,1.15,0.03,66.78,2.46,2.46,7.16,0.23,36.35,21.23,19.45,6.00,0.56,6.96,0.26,2.10,18.43,1.47,0.05,0.04,6.89,0.21,0.98,6.34,2.19,0.25,0.03,7.55,0.32,0.96,5.269,0.027,0.02047,0.336,2.52
Block1,Biochar10thaTSP,2890.6,798.6,3689.2,1.16,0.57,1.19,0.03,61.66,-1.12,-1.12,8.93,4.3,46.98,11.10,13.05,4.55,0.41,6.92,0.22,,2.94,2.95,0.75,0.04,6.95,0.15,1.37,2.27,1.50,1.40,0.03,7.10,0.17,1.03,2.424,0.012,0.00187,0.231,1.53
Block2,Biochar10thaTSP,2324,470.6,2794.6,1.18,0.48,1.18,0.03,74.27,7.71,7.71,7.87,1.79,25.68,14.24,16.60,5.85,0.63,6.46,0.24,1.86,4.07,3.36,0.95,0.11,6.55,0.17,1.08,5.26,1.21,0.40,0.00,6.88,,0.79,3.793,0.012,0.00333,0.145,5.24
Block3,Biochar10thaTSP,1751.8,309.4,2061.2,1.28,0.44,1.23,0.03,55.45,-5.47,-5.47,6.74,-0.89,8.22,12.27,19.22,5.55,0.87,6.75,0.21,1.77,3.98,3.29,0.45,0.09,6.74,0.18,1.28,4.83,1.26,0.00,0.04,7.05,0.20,0.81,6.825,0.233,0.05321,0.713,6.04
Block4,Biochar10thaTSP,2134.2,359.2,2493.4,1.29,0.41,1.32,0.03,68.09,3.38,3.38,8.33,2.88,18.51,21.44,14.85,5.35,0.36,6.71,0.26,1.65,,,0.50,0.03,7.15,0.27,0.92,5.71,,1.05,0.00,7.54,0.73,0.59,7.896,0.394,0.06214,0.311,2.47
Block1,Biochar25kgPha,2486.2,600.2,3086.4,1.33,0.4,1.32,0.04,64.67,0.83,0.83,6.63,-1.94,54.81,8.77,10.92,4.95,0.32,7.06,0.15,2.16,2.86,3.45,1.90,0.05,6.97,0.11,1.29,3.80,3.11,,0.06,7.09,0.15,1.07,1.780,0.018,0.01728,0.368,0.60
Block2,Biochar25kgPha,,,,1.42,0.39,1.2,0.03,105.69,25.08,25.08,9.19,,111.31,8.13,10.83,3.55,0.32,6.52,0.20,1.98,5.81,1.82,0.25,0.05,6.46,0.17,0.99,6.74,2.73,0.15,0.02,6.68,0.28,1.03,,,,,
