Block,Treatment,CombinedLabel,InitialRate,FinalRate,MoisturePerc,Slope,Sorptivity,K
Block1,Biochar10tha,Block1 Biochar10tha,36.36,7.27,0.35,6.24,12.49,-1.79
Block2,Biochar10tha,Block2 Biochar10tha,100.00,2.90,0.48,10.40,20.81,-9.92
Block3,Biochar10tha,Block3 Biochar10tha,43.90,6.50,0.44,7.18,14.36,-3.37
Block4,Biochar10tha,Block4 Biochar10tha,44.44,5.74,0.47,6.82,13.65,-3.47
Block1,Biochar10thaTSP,Block1 Biochar10thaTSP,60.00,4.34,0.54,7.96,15.92,-5.28
Block2,Biochar10thaTSP,Block2 Biochar10thaTSP,117.82,4.57,0.46,14.17,28.34,-15.30
Block3,Biochar10thaTSP,Block3 Biochar10thaTSP,31.58,2.41,0.41,5.82,11.64,-2.90
Block4,Biochar10thaTSP,Block4 Biochar10thaTSP,27.07,3.71,0.38,5.43,10.85,-2.13
Block1,Biochar25kgPha,Block1 Biochar25kgPha,40.00,6.59,0.36,7.49,14.97,-3.43
Block2,Biochar25kgPha,Block2 Biochar25kgPha,61.02,2.30,0.36,8.12,16.25,-6.11
Block3,Biochar25kgPha,Block3 Biochar25kgPha,72.00,4.25,0.53,9.04,18.08,-6.80
Block4,Biochar25kgPha,Block4 Biochar25kgPha,36.73,2.36,0.48,6.28,12.55,-3.46
Block1,Control1,Block1 Control1,75.00,2.15,0.56,8.80,17.59,-6.16
Block2,Control1,Block2 Control1,32.73,1.86,0.47,6.07,12.14,-3.62
Block3,Control1,Block3 Control1,39.13,2.19,0.48,7.00,14.01,-4.39
Block4,Control1,Block4 Control1,33.03,6.12,0.42,6.02,12.04,-1.99
Block1,Control2,Block1 Control2,36.00,5.47,0.39,6.11,12.23,-2.42
Block2,Control2,Block2 Control2,14.12,1.74,0.49,5.44,10.88,-2.04
Block3,Control2,Block3 Control2,59.02,1.86,0.42,7.93,15.86,-5.41
Block4,Control2,Block4 Control2,17.39,2.44,0.45,4.72,9.44,-2.00
Block1,Phosphorus,Block1 Phosphorus,22.50,3.95,0.41,4.93,9.87,-0.54
Block2,Phosphorus,Block2 Phosphorus,61.02,2.36,0.57,8.23,16.45,-5.68
Block3,Phosphorus,Block3 Phosphorus,50.00,2.12,0.40,7.34,14.67,-4.96
Block4,Phosphorus,Block4 Phosphorus,63.16,6.10,0.46,8.46,16.91,-5.67
