"","Soil","Treatment","Mean","SE"
"1","Haverhill","Control1",1.03,0.0304138126514911
"2","Haverhill","Control2",2.5975,0.441576248606436
"3","Haverhill","CanolaMeal_50kg_ha",5.5475,0.823188668127382
"4","Haverhill","CanolaHull_50kg_ha",6.6725,0.46397512505162
"5","Haverhill","Manure_50kg_ha",6.0475,0.872652804193436
"6","Haverhill","Willow_50kg_ha",8.1775,0.0796215004463827
"7","Haverhill","CanolaMeal_10t_ha",8.67,0.436367582052868
"8","Haverhill","CanolaHull_10t_ha",7.8925,0.438831307755801
"9","Haverhill","Manure_10t_ha",8.4175,0.440007102215407
"10","Haverhill","Willow_10t_ha",7.335,0.116081867662439
"11","Haverhill","CanolaHull_10t_ha_TSP",9.255,0.202422824799972
"12","Haverhill","CanolaMeal_10t_ha_TSP",10.75,0.0300000000000002
"13","Haverhill","Manure_10t_ha_TSP",9.4825,0.237324496558334
"14","Haverhill","Willow_10t_ha_TSP",8.9025,1.03709831581517
"15","Haverhill","Triple_Super_Phosphate",8.755,0.991501386786726
"16","Oxbow","Control1",1.3075,0.148737744593182
"17","Oxbow","Control2",2.62,0.280089271483218
"18","Oxbow","CanolaMeal_50kg_ha",2.7975,0.542653588089738
"19","Oxbow","CanolaHull_50kg_ha",4.805,1.15208868292911
"20","Oxbow","Manure_50kg_ha",6.755,0.786431815226215
"21","Oxbow","Willow_50kg_ha",10.0533333333333,0.0992891400573766
"22","Oxbow","CanolaMeal_10t_ha",8.8,0.847083230857511
"23","Oxbow","CanolaHull_10t_ha",4.3475,0.249979165798539
"24","Oxbow","Manure_10t_ha",9.7325,0.201303046839005
"25","Oxbow","Willow_10t_ha",5.4,1.09677557716548
"26","Oxbow","CanolaHull_10t_ha_TSP",9.1675,0.648618724675753
"27","Oxbow","CanolaMeal_10t_ha_TSP",10.9,0.868302942526397
"28","Oxbow","Manure_10t_ha_TSP",12.61,0.800010416598851
"29","Oxbow","Willow_10t_ha_TSP",11.7175,0.595166293288411
"30","Oxbow","Triple_Super_Phosphate",9.4675,0.775514614089681
