Block,Treatment ,FStraw,FGrain,Yield,BDwet,MoistWet,BDdry,MoistDry,Nuptake,Nrecovery,Puptake,Precovery,NO3_10,PO4_10,WatSolP_10,ResinP_10,pH_10,EC_10,OC_10,NO3_20,PO4_20,WatSolP_20,ResinP_20,pH_20,EC_20,OC_20,NO3_30,PO4_30,WatSolP_30,ResinP_30,pH_30,EC_30,OC_30,LNO3,LNH4,LPO4,ResinPO4,ResinNO3
Block1,Control1,3211.8,957.4,4169.2,1.06,0.6,1.24,0.04,50.29,,8.28,,3.097,10.25,4.55,0.2596,7.25,0.152,2.05,1.657,4.05,1.7,0.0912,,0.097,1.41,1.712,2.71,0.85,0.0444,,0.125,0.946,0.2001,0.0016,0.001,0.166857,
Block2,Control1,2255,572,2827,1.23,0.5,1.25,0.03,43.89,,7.14,,8.767,10.92,4.95,0.317,7.06,0.149,2.16,2.855,3.45,1.9,0.0468,6.97,0.105,1.29,3.796,3.11,0.9,0.0573,7.09,0.154,1.07,0.3975,0.004,0.0027,0.197714,1.048
Block3,Control1,1444.8,290.2,1735,1.37,0.51,1.3,0.03,30.95,,4.34,,11.102,13.05,4.55,0.4058,6.92,,2.35,2.936,2.95,0.75,0.0374,6.95,0.149,1.37,2.265,1.5,1.4,0.0292,7.1,0.172,1.03,1.6467,0.027,0.0072,0.090286,1.270857
Block4,Control1,1650.6,350.4,2001,1.38,0.45,1.2,0.03,49.61,,5.62,,10.947,11.54,4.15,0.2433,6.89,0.162,2.14,,2.59,0.6,0.0655,6.95,0.17,1.36,,2.17,1.8,0.0175,7.09,,1.11,4.409,0.0457,0.0213,0.342857,1.268571
Block1,Control2,3549.6,1381.4,4931,1.31,0.43,1.41,0.04,101.24,43.75,8.24,,9.932,12.14,5.2,0.2889,7.08,0.176,1.95,3.829,2.06,0.9,0.0304,6.91,0.392,1.48,7.383,1.63,0.05,0.0012,7,1.53,0.888,2.5923,0.0232,0.0024,0.092571,20.114286
Block2,Control2,3534,912.8,4446.8,1.16,0.52,1.25,0.03,73.05,11.26,9.34,,10.357,8.17,2.6,0.1626,7.19,0.184,1.86,14.123,2.69,0.45,0.0152,6.74,1.41,1.29,,2.46,0,0.0035,6.85,3.84,1.01,2.758,0.0544,0.0171,0.291429,3.924571
Block3,Control2,1922,306.6,2228.6,1.34,0.45,1.38,0.03,65.24,2.27,5.79,,9.228,18.16,6.5,0.2947,6.95,0.166,1.89,2.841,6.42,1.4,0.2409,6.93,0.08,1.46,5.382,2.07,1.2,0.0491,7.39,0.255,1.04,4.2996,0.1432,0.0153,0.326857,3.906286
Block4,Control2,1791.4,330.6,2122,1.34,0.48,1.42,0.03,57.13,-7.07,5.11,,,17.48,6.05,,6.81,0.138,1.81,13.884,5.91,1.3,0.1708,6.8,0.101,1.62,5.889,1.14,1.1,0.0234,7.16,0.302,0.938,2.0607,0.2004,0.0371,0.437714,10.16
Block1,Biochar25kgPha,2486.2,600.2,3086.4,1.33,0.4,1.32,0.04,64.67,0.83,6.63,-8.9,9.198,18.41,5.75,0.6105,6.91,0.164,,4.568,5.67,3.05,0.1275,7,0.149,1.64,4.446,3.3,3.6,0.0023,7.54,0.944,0.971,1.7803,0.0176,0.0173,0.368,0.596571
Block2,Biochar25kgPha,,,,1.42,0.39,1.2,0.03,105.69,25.08,9.19,1.32,5.002,15.33,6.5,0.3333,7.02,0.13,1.91,2.158,5.74,3.45,0.2655,7.12,0.157,1.58,3.51,3.3,1.55,0.0023,7.05,3.91,1.01,0.1531,0.0013,0.0006,0.637714,5.138286
Block3,Biochar25kgPha,1981,355.6,2336.6,1.23,0.55,1.16,0.02,57.72,-3.28,6.53,-9.31,14.236,16.6,5.85,0.6339,6.46,0.24,1.86,4.07,3.36,0.95,0.1064,6.55,0.168,1.08,5.256,1.21,0.4,0.0035,6.88,7.58,,1.4758,0.0467,0.0164,1.072,6.050286
Block4,Biochar25kgPha,2289,470.8,2759.8,1.12,0.51,1.41,0.04,71.91,5.11,6.92,-7.76,8.128,10.83,,0.3205,6.52,0.2,1.98,5.81,1.82,0.25,0.0456,6.46,0.168,0.992,6.736,2.73,0.15,,6.68,0.28,1.03,3.4884,0.0984,0.0082,0.412571,13.194286
Block1,Biochar10tha,2201.6,394,2595.6,1.24,0.38,1.25,0.03,65.33,1.44,5.73,-12.51,9.546,19.15,8,0.5123,6.54,0.187,0.686,3.868,5.28,1.35,0.124,6.65,0.123,,4.53,2.63,1.1,0.0503,6.79,0.166,0.738,7.1891,0.104,0.0001,0.221714,5.987429
Block2,Biochar10tha,2889.2,513.4,3402.6,1.25,0.52,1.02,0.03,66.33,2.15,9.59,2.93,13.752,18.6,,0.6409,6.32,0.171,1.9,5.614,5.26,,0.1719,6.68,0.153,1.22,4.32,2.12,0.35,0.0023,7.54,0.514,,2.6608,0.018,0.0045,0.325714,5.995429
Block3,Biochar10tha,1904.2,336.4,2240.6,1.21,0.47,1.26,0.03,57.47,-4.06,6.43,-9.72,9.318,20.88,8.15,0.6632,6.48,0.201,1.79,8.622,,1.4,0.1462,6.86,0.199,1.24,,,1.3,0,7.06,1.2,0.847,,,,0.413714,2.259429
Block4,Biochar10tha,1946.6,387.4,2334,1.39,0.49,1.15,0.03,66.78,2.46,7.16,-6.8,11.248,20.88,8.15,0.7205,6.42,0.191,1.68,8.636,5.47,1.3,0.1158,6.46,0.153,1.24,4.652,1.7,1.3,0.0304,6.85,0.257,0.736,5.2686,0.0269,0.0205,0.336,2.52
Block1,Biochar10thaTSP,2890.6,798.6,3689.2,1.16,0.57,1.19,0.03,61.66,-1.12,8.93,0.27,13.12,21.64,6.95,0.6164,6.6,0.267,1.92,5.254,5.32,,,6.84,0.16,1.41,6.108,2.8,0.25,0.0012,7.27,,0.766,2.4236,0.0119,0.0019,0.230857,1.533714
Block2,Biochar10thaTSP,2324,470.6,2794.6,1.18,0.48,1.18,0.03,74.27,7.71,7.87,-3.95,12.274,19.22,5.55,0.8678,6.75,0.211,1.77,3.978,3.29,0.45,0.0854,6.74,0.177,1.28,4.828,1.26,0,,7.05,0.196,0.809,3.7926,0.0121,0.0033,0.145143,5.236571
Block3,Biochar10thaTSP,1751.8,309.4,2061.2,1.28,0.44,1.23,0.03,55.45,-5.47,6.74,-8.45,9.974,18.48,6.5,0.7415,6.53,0.181,1.55,8.104,2.88,0.25,0.0819,6.78,0.164,0.832,6.834,1.54,0.15,0.0035,7.43,0.672,0.721,6.8253,0.2332,0.0532,0.713143,6.043429
Block4,Biochar10thaTSP,2134.2,359.2,2493.4,1.29,0.41,1.32,0.03,68.09,3.38,8.33,-2.12,,14.85,5.35,0.3614,6.71,0.263,1.65,,,0.5,0.0316,,,0.923,5.71,,1.05,0.0023,7.54,0.725,0.587,7.8963,0.3938,0.0621,0.310857,2.467429
Block1,Phosphorus,1866.4,688,2554.4,1.34,0.44,1.14,0.03,61.41,-2.14,5.96,-11.61,13.31,13.92,4.9,0.5602,6.91,0.18,1.62,7.25,,,0.0596,7.35,,1.05,2.858,2.87,0.3,0.0023,7.09,,0.604,2.0884,0.0168,0.0031,0.166857,2.409143
Block2,Phosphorus,2528.8,442.4,2971.2,1.03,0.61,1.19,0.03,61.36,-2.19,8.26,-2.39,13.886,17.65,4.15,,6.85,0.384,1.82,10.578,1.01,0.2,0.0304,7.25,0.215,1.01,5.032,1.3,0.3,0,7.25,1.73,0.74,5.9058,0.0209,0.178,1.392,6.28
Block3,Phosphorus,2452,493.2,2945.2,1.39,0.43,1.09,0.03,72.73,10.9,7.67,-4.73,7.528,15.3,4.65,0.5532,6.98,0.172,1.83,5.088,1.37,0.05,0.0526,6.95,0.146,0.979,3.524,0.98,0.1,0.0327,7.47,0.253,0.736,0.1075,0.0037,0.0009,0.658286,3.72
Block4,Phosphorus,1813.4,252,2065.4,1.33,0.5,1.4,0.04,56.57,-7.71,5.66,-12.79,21.234,19.45,6,0.5567,6.96,0.256,2.1,18.434,1.47,0.05,0.0374,6.89,0.21,0.981,6.336,2.19,0.25,0.0281,7.55,0.317,,1.0624,0.11,0.0522,0.437714,5.878857
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
