Block,Plot,Treatment ,Depth,NO3,PO4,WatSolP,ResinP,pH,EC,OC
Block1,1,Control1,0-10cm,3.097,10.25,4.55,0.2596,7.25,152,2.05
Block1,1,Control1,10-20cm,1.657,4.05,1.7,0.0912,7.21,97,1.41
Block1,1,Control1,20-30cm,1.712,2.71,0.85,0.0444,7.26,125,0.946
Block1,2,Biochar25kgPha,0-10cm,8.767,10.92,4.95,0.317,7.06,149,2.16
Block1,2,Biochar25kgPha,10-20cm,2.855,3.45,1.9,0.0468,6.97,105,1.29
Block1,2,Biochar25kgPha,20-30cm,3.796,3.11,0.9,0.0573,7.09,154,1.07
Block1,3,Biochar10thaTSP,0-10cm,11.102,13.05,4.55,0.4058,6.92,224,2.35
Block1,3,Biochar10thaTSP,10-20cm,2.936,2.95,0.75,0.0374,6.95,149,1.37
Block1,3,Biochar10thaTSP,20-30cm,2.265,1.5,1.4,0.0292,7.1,172,1.03
Block1,4,Biochar10tha,0-10cm,10.947,11.54,4.15,0.2433,6.89,162,2.14
Block1,4,Biochar10tha,10-20cm,10.942,2.59,0.6,0.0655,6.95,170,1.36
Block1,4,Biochar10tha,20-30cm,13.74,2.17,1.8,0.0175,7.09,411,1.11
Block1,5,Phosphorus,0-10cm,9.932,12.14,5.2,0.2889,7.08,176,1.95
Block1,5,Phosphorus,10-20cm,3.829,2.06,0.9,0.0304,6.91,392,1.48
Block1,5,Phosphorus,20-30cm,7.383,1.63,0.05,0.0012,7,1530,0.888
Block1,6,Control2,0-10cm,10.357,8.17,2.6,0.1626,7.19,184,1.86
Block1,6,Control2,10-20cm,14.123,2.69,0.45,0.0152,6.74,1410,1.29
Block1,6,Control2,20-30cm,18.545,2.46,0,0.0035,6.85,3840,1.01
Block2,7,Control2,0-10cm,9.228,18.16,6.5,0.2947,6.95,166,1.89
Block2,7,Control2,10-20cm,2.841,6.42,1.4,0.2409,6.93,80,1.46
Block2,7,Control2,20-30cm,5.382,2.07,1.2,0.0491,7.39,255,1.04
Block2,8,Phosphorus,0-10cm,14.412,17.48,6.05,0.5404,6.81,138,1.81
Block2,8,Phosphorus,10-20cm,13.884,5.91,1.3,0.1708,6.8,101,1.62
Block2,8,Phosphorus,20-30cm,5.889,1.14,1.1,0.0234,7.16,302,0.938
