Block,Treatment ,Straw,Grain,BDwet,MoistWet,BDdry,MoistDry,Nuptake,Nrecovery,NUE,Puptake,Precovery,PUE,NO3_10,PO4_10,WatSolP_10,ResinP_10,pH_10,EC_10,OC_10,NO3_20,PO4_20,WatSolP_20,ResinP_20,pH_20,EC_20,OC_20,NO3_30,PO4_30,WatSolP_30,ResinP_30,pH_30,EC_30,OC_30,NO3Load,NH4Load,PO4Load,ResinPO4,ResinNO3
Block1,Control1,3211.8,957.4,1.06,0.6,1.24,0.04,50.29,,,8.28,,,3.097,10.25,4.55,0.2596,7.25,152,2.05,1.657,4.05,1.7,0.0912,7.21,97,1.41,1.712,2.71,0.85,0.0444,7.26,125,0.946,0.200058932,0.001635252,0.001006874,0.166857143,5.32
Block2,Control1,2255,572,1.23,0.5,1.25,0.03,43.89,,,7.14,,,8.767,10.92,4.95,0.317,7.06,149,2.16,2.855,3.45,1.9,0.0468,6.97,105,1.29,3.796,3.11,0.9,0.0573,7.09,154,1.07,0.397489848,0.003950029,0.002651026,0.197714286,1.048
Block3,Control1,1444.8,290.2,1.37,0.51,1.3,0.03,30.95,,,4.34,,,11.102,13.05,4.55,0.4058,6.92,224,2.35,2.936,2.95,0.75,0.0374,6.95,149,1.37,2.265,1.5,1.4,0.0292,7.1,172,1.03,1.646749491,0.02702746,0.007249226,0.090285714,1.270857143
Block4,Control1,1650.6,350.4,1.38,0.45,1.2,0.03,49.61,,,5.62,,,10.947,11.54,4.15,0.2433,6.89,162,2.14,10.942,2.59,0.6,0.0655,6.95,170,1.36,13.74,2.17,1.8,0.0175,7.09,411,1.11,4.408998905,0.045744841,0.02127667,0.342857143,1.268571429
Block1,Control2,3549.6,1381.4,1.31,0.43,1.41,0.04,101.24,43.75,43.75,8.24,,,9.932,12.14,5.2,0.2889,7.08,176,1.95,3.829,2.06,0.9,0.0304,6.91,392,1.48,7.383,1.63,0.05,0.0012,7,1530,0.888,2.592349592,0.023163965,0.002437135,0.092571429,20.11428571
Block2,Control2,3534,912.8,1.16,0.52,1.25,0.03,73.05,11.26,11.26,9.34,,,10.357,8.17,2.6,0.1626,7.19,184,1.86,14.123,2.69,0.45,0.0152,6.74,1410,1.29,18.545,2.46,0,0.0035,6.85,3840,1.01,2.758039392,0.054365886,0.017103874,0.291428571,3.924571429
Block3,Control2,1922,306.6,1.34,0.45,1.38,0.03,65.24,2.27,2.27,5.79,,,9.228,18.16,6.5,0.2947,6.95,166,1.89,2.841,6.42,1.4,0.2409,6.93,80,1.46,5.382,2.07,1.2,0.0491,7.39,255,1.04,4.299648889,0.143173333,0.015348667,0.326857143,3.906285714
Block4,Control2,1791.4,330.6,1.34,0.48,1.42,0.03,57.13,-7.07,-7.07,5.11,,,14.412,17.48,6.05,0.5404,6.81,138,1.81,13.884,5.91,1.3,0.1708,6.8,101,1.62,5.889,1.14,1.1,0.0234,7.16,302,0.938,2.060731353,0.200436284,0.037072719,0.437714286,10.16
Block1,Biochar25kgPha,2486.2,600.2,1.33,0.4,1.32,0.04,64.67,0.83,0.83,6.63,-1.94,54.81,9.198,18.41,5.75,0.6105,6.91,164,2.47,4.568,5.67,3.05,0.1275,7,149,1.64,4.446,3.3,3.6,0.0023,7.54,944,0.971,1.780259929,0.017571397,0.017282393,0.368,0.596571429
Block2,Biochar25kgPha,3351.8,1147,1.42,0.39,1.2,0.03,105.69,25.08,25.08,9.19,8.27,111.31,5.002,15.33,6.5,0.3333,7.02,130,1.91,2.158,5.74,3.45,0.2655,7.12,157,1.58,3.51,3.3,1.55,0.0023,7.05,3910,1.01,0.153096849,0.001310915,0.000556413,0.637714286,5.138285714
