Block,Treatment,CombinedLabel,InitialRate,FinalRate,MoisturePerc,S,K
Block1,Biochar10tha,Block1 Biochar10tha,36.36,7.27,0.35,124.89,-17.99345718
Block2,Biochar10tha,Block2 Biochar10tha,100.00,2.90,0.48,208.06,-99.03831479
Block3,Biochar10tha,Block3 Biochar10tha,43.90,6.50,0.44,143.67,-33.73273263
Block4,Biochar10tha,Block4 Biochar10tha,44.44,5.74,0.47,136.43,-34.52500782
Block1,Biochar10thaTSP,Block1 Biochar10thaTSP,60.00,4.34,0.54,159.23,-52.80024838
Block2,Biochar10thaTSP,Block2 Biochar10thaTSP,117.82,4.57,0.46,283.49,-153.2331663
Block3,Biochar10thaTSP,Block3 Biochar10thaTSP,31.58,2.41,0.41,116.36,-28.95524739
Block4,Biochar10thaTSP,Block4 Biochar10thaTSP,27.07,3.71,0.38,108.37,-21.17762974
Block1,Biochar25kgPha,Block1 Biochar25kgPha,40.00,6.59,0.36,149.56,-34.12562848
Block2,Biochar25kgPha,Block2 Biochar25kgPha,61.02,2.30,0.36,162.45,-60.95648588
Block3,Biochar25kgPha,Block3 Biochar25kgPha,72.00,4.25,0.53,180.99,-68.18221867
Block4,Biochar25kgPha,Block4 Biochar25kgPha,36.73,2.36,0.48,125.5,-34.68086693
Block1,Control1,Block1 Control1,75.00,2.15,0.56,175.94,-61.72563824
Block2,Control1,Block2 Control1,32.73,1.86,0.47,121.36,-36.20603237
Block3,Control1,Block3 Control1,39.13,2.19,0.48,140.19,-44.04127598
Block4,Control1,Block4 Control1,33.03,6.12,0.42,120.51,-19.8383803
Block1,Control2,Block1 Control2,36.00,5.47,0.39,122.35,-24.26971966
Block2,Control2,Block2 Control2,14.12,1.74,0.49,112.1,-24.85870131
Block3,Control2,Block3 Control2,59.02,1.86,0.42,158.52,-53.97171236
Block4,Control2,Block4 Control2,17.39,2.44,0.45,94.37,-20.00464041
Block1,Phosphorus,Block1 Phosphorus,22.50,3.95,0.41,98.63,-5.308218539
Block2,Phosphorus,Block2 Phosphorus,61.02,2.36,0.57,164.38,-56.61730923
Block3,Phosphorus,Block3 Phosphorus,50.00,2.12,0.4,146.7,-49.64573908
Block4,Phosphorus,Block4 Phosphorus,63.16,6.10,0.46,169.09,-56.62073821
