Block,Treatment,Time,CI,mDry,mWet
Block1,Control 1,0.00,0.00,0.0299,0.5640
Block1,Control 1,48.00,1.00,0.0299,0.5640
Block1,Control 1,217.00,2.00,0.0299,0.5640
Block1,Control 1,848.00,3.00,0.0299,0.5640
Block1,Control 1,2288.00,4.00,0.0299,0.5640
Block1,Control 1,3911.00,5.00,0.0299,0.5640
Block1,Control 1,5855.00,6.00,0.0299,0.5640
Block1,Control 1,8624.00,7.00,0.0299,0.5640
Block1,Control 1,11472.00,8.00,0.0299,0.5640
Block1,Control 1,13581.00,9.00,0.0299,0.5640
Block1,Control 1,16724.00,10.00,0.0299,0.5640
Block1,Biochar25kgPha,0.00,0.00,0.0274,0.2999
Block1,Biochar25kgPha,90.00,1.00,0.0274,0.2999
Block1,Biochar25kgPha,200.00,2.00,0.0274,0.2999
Block1,Biochar25kgPha,341.00,3.00,0.0274,0.2999
Block1,Biochar25kgPha,604.00,4.00,0.0274,0.2999
Block1,Biochar25kgPha,1028.00,5.00,0.0274,0.2999
Block1,Biochar25kgPha,1486.00,6.00,0.0274,0.2999
Block1,Biochar25kgPha,2168.00,7.00,0.0274,0.2999
Block1,Biochar25kgPha,3030.00,8.00,0.0274,0.2999
Block1,Biochar25kgPha,4363.00,9.00,0.0274,0.2999
Block1,Biochar25kgPha,5461.00,10.00,0.0274,0.2999
Block1,Biochar10thaTSP,0.00,0.00,0.0243,0.4896
Block1,Biochar10thaTSP,60.00,1.00,0.0243,0.4896
Block1,Biochar10thaTSP,249.00,2.00,0.0243,0.4896
Block1,Biochar10thaTSP,523.00,3.00,0.0243,0.4896
Block1,Biochar10thaTSP,1208.00,4.00,0.0243,0.4896
Block1,Biochar10thaTSP,1755.00,5.00,0.0243,0.4896
Block1,Biochar10thaTSP,2790.00,6.00,0.0243,0.4896
Block1,Biochar10thaTSP,4100.00,7.00,0.0243,0.4896
Block1,Biochar10thaTSP,4815.00,8.00,0.0243,0.4896
Block1,Biochar10thaTSP,5947.00,9.00,0.0243,0.4896
Block1,Biochar10thaTSP,8291.00,10.00,0.0243,0.4896
Block1,Biochar10tha,0.00,0.00,0.0235,0.3041
Block1,Biochar10tha,99.00,1.00,0.0235,0.3041
Block1,Biochar10tha,264.00,2.00,0.0235,0.3041
Block1,Biochar10tha,544.00,3.00,0.0235,0.3041
Block1,Biochar10tha,897.00,4.00,0.0235,0.3041
Block1,Biochar10tha,1400.00,5.00,0.0235,0.3041
Block1,Biochar10tha,2050.00,6.00,0.0235,0.3041
Block1,Biochar10tha,2770.00,7.00,0.0235,0.3041
Block1,Biochar10tha,3460.00,8.00,0.0235,0.3041
Block1,Biochar10tha,4330.00,9.00,0.0235,0.3041
Block1,Biochar10tha,4950.00,10.00,0.0235,0.3041
Block1,Phosphorus,0.00,0.00,0.0278,0.3315
Block1,Phosphorus,160.00,1.00,0.0278,0.3315
Block1,Phosphorus,525.00,2.00,0.0278,0.3315
Block1,Phosphorus,1011.00,3.00,0.0278,0.3315
Block1,Phosphorus,1218.00,4.00,0.0278,0.3315
Block1,Phosphorus,2590.00,5.00,0.0278,0.3315
Block1,Phosphorus,3599.00,6.00,0.0278,0.3315
Block1,Phosphorus,4855.00,7.00,0.0278,0.3315
Block1,Phosphorus,6284.00,8.00,0.0278,0.3315
Block1,Phosphorus,7908.00,9.00,0.0278,0.3315
Block1,Phosphorus,9119.00,10.00,0.0278,0.3315
Block1,Control2,0.00,0.00,0.0252,0.3259
Block1,Control2,100.00,1.00,0.0252,0.3259
Block1,Control2,380.00,2.00,0.0252,0.3259
Block1,Control2,754.00,3.00,0.0252,0.3259
Block1,Control2,1121.00,4.00,0.0252,0.3259
Block1,Control2,1744.00,5.00,0.0252,0.3259
Block1,Control2,2496.00,6.00,0.0252,0.3259
Block1,Control2,3366.00,7.00,0.0252,0.3259
Block1,Control2,4312.00,8.00,0.0252,0.3259
Block1,Control2,5353.00,9.00,0.0252,0.3259
Block1,Control2,6584.00,10.00,0.0252,0.3259
Block2,Control2,0.00,0.00,0.0257,0.4482
Block2,Control2,255.00,1.00,0.0257,0.4482
