Block,Treatment,Time,Infiltration,CI,IncrementDepth,TimeInterval,thalf,fp,th
Block1,Biochar10tha,0,100,0,0,0,,,0
Block1,Biochar10tha,99,90,10,10,0.028,6.03,363.64,0.03
Block1,Biochar10tha,264,80,20,10,0.046,3.693,218.18,0.07
Block1,Biochar10tha,544,70,30,10,0.078,2.572,128.57,0.15
Block1,Biochar10tha,897,60,40,10,0.098,2.003,101.98,0.25
Block1,Biochar10tha,1400,50,50,10,0.14,1.604,71.57,0.39
Block1,Biochar10tha,2050,40,60,10,0.181,1.325,55.38,0.57
Block1,Biochar10tha,2770,30,70,10,0.2,1.14,50,0.77
Block1,Biochar10tha,3460,20,80,10,0.192,1.02,52.17,0.96
Block1,Biochar10tha,4330,10,90,10,0.242,0.912,41.38,1.2
Block1,Biochar10tha,4950,0,100,10,0.172,0.853,58.06,1.38
Block2,Biochar10tha,0,100,0,0,0,,,0
Block2,Biochar10tha,36,90,10,10,0.01,10,1000,0.01
Block2,Biochar10tha,149,80,20,10,0.031,4.915,318.58,0.04
Block2,Biochar10tha,570,70,30,10,0.117,2.513,85.51,0.16
Block2,Biochar10tha,1690,60,40,10,0.311,1.46,32.14,0.47
Block2,Biochar10tha,3680,50,50,10,0.553,0.989,18.09,1.02
Block2,Biochar10tha,6100,40,60,10,0.672,0.768,14.88,1.69
Block2,Biochar10tha,7380,36,64,4,0.356,0.698,11.25,2.05
Block2,Biochar10tha,8580,31,69,5,0.333,0.648,15,2.38
Block3,Biochar10tha,0,100,0,0,0,,,0
Block3,Biochar10tha,82,90,10,10,0.023,6.626,439.02,0.02
Block3,Biochar10tha,212,80,20,10,0.036,4.121,276.92,0.06
Block3,Biochar10tha,464,70,30,10,0.07,2.785,142.86,0.13
Block3,Biochar10tha,715,60,40,10,0.07,2.244,143.43,0.2
Block3,Biochar10tha,1140,50,50,10,0.118,1.777,84.71,0.32
Block3,Biochar10tha,1574,40,60,10,0.121,1.512,82.95,0.44
Block3,Biochar10tha,2288,30,70,10,0.198,1.254,50.42,0.64
Block3,Biochar10tha,3143,20,80,10,0.238,1.07,42.11,0.87
Block3,Biochar10tha,4334,10,90,10,0.331,0.911,30.23,1.2
Block3,Biochar10tha,5542,0,100,10,0.336,0.806,29.8,1.54
Block4,Biochar10tha,0,100,0,0,0,,,0
Block4,Biochar10tha,81,90,10,10,0.023,6.667,444.44,0.02
Block4,Biochar10tha,307,80,20,10,0.063,3.424,159.29,0.09
Block4,Biochar10tha,625,70,30,10,0.088,2.4,113.21,0.17
Block4,Biochar10tha,1092,60,40,10,0.13,1.816,77.09,0.3
Block4,Biochar10tha,1639,50,50,10,0.152,1.482,65.81,0.46
Block4,Biochar10tha,2387,40,60,10,0.208,1.228,48.13,0.66
Block4,Biochar10tha,3222,30,70,10,0.232,1.057,43.11,0.9
Block4,Biochar10tha,4287,20,80,10,0.296,0.916,33.8,1.19
Block4,Biochar10tha,5357,10,90,10,0.297,0.82,33.64,1.49
Block4,Biochar10tha,6276,0,100,10,0.255,0.757,39.17,1.74
Block1,Biochar10thaTSP,0,100,0,0,0,,,0
Block1,Biochar10thaTSP,60,90,10,10,0.017,7.746,600,0.02
Block1,Biochar10thaTSP,249,80,20,10,0.053,3.802,190.48,0.07
Block1,Biochar10thaTSP,523,70,30,10,0.076,2.624,131.39,0.15
Block1,Biochar10thaTSP,1208,60,40,10,0.19,1.726,52.55,0.34
Block1,Biochar10thaTSP,1755,50,50,10,0.152,1.432,65.81,0.49
Block1,Biochar10thaTSP,2790,40,60,10,0.288,1.136,34.78,0.78
Block1,Biochar10thaTSP,4100,30,70,10,0.364,0.937,27.48,1.14
Block1,Biochar10thaTSP,4815,20,80,10,0.199,0.865,50.35,1.34
Block1,Biochar10thaTSP,5947,10,90,10,0.314,0.778,31.8,1.65
Block1,Biochar10thaTSP,8291,0,100,10,0.651,0.659,15.36,2.3
Block2,Biochar10thaTSP,0,100,0,0,0,,,0
Block2,Biochar10thaTSP,55,90,18,18,0.015,8.09,1178.18,0.02
Block2,Biochar10thaTSP,232,80,20,2,0.049,3.939,40.68,0.06
Block2,Biochar10thaTSP,479,70,30,10,0.069,2.741,145.75,0.13
Block2,Biochar10thaTSP,1160,60,40,10,0.189,1.762,52.86,0.32
Block2,Biochar10thaTSP,1730,50,50,10,0.158,1.443,63.16,0.48
Block2,Biochar10thaTSP,2775,40,60,10,0.29,1.139,34.45,0.77
Block2,Biochar10thaTSP,3877,30,70,10,0.306,0.964,32.67,1.08
Block2,Biochar10thaTSP,5290,20,80,10,0.393,0.825,25.48,1.47
Block2,Biochar10thaTSP,6200,10,90,10,0.253,0.762,39.56,1.72
Block2,Biochar10thaTSP,7870,0,100,10,0.464,0.676,21.56,2.19
Block3,Biochar10thaTSP,0,100,0,0,0,,,0
Block3,Biochar10thaTSP,114,90,10,10,0.032,5.62,315.79,0.03
Block3,Biochar10thaTSP,414,80,20,10,0.083,2.949,120,0.12
Block3,Biochar10thaTSP,1048,70,30,10,0.176,1.853,56.78,0.29
Block3,Biochar10thaTSP,1904,60,40,10,0.238,1.375,42.06,0.53
Block3,Biochar10thaTSP,4306,50,50,10,0.667,0.914,14.99,1.2
Block3,Biochar10thaTSP,5709,40,60,10,0.39,0.794,25.66,1.59
