Soil,Treatment,Yield,Nuptake,Nrecovery,Puptake,Precovery,NO3,NH4,PO4,ResinP,WaterSolP,TotalP2,pH,EC,OC,CharPRate,CharPerc
Haverhill,Control1,1.07,27.08,NA,1.77,NA,9.91,6.58,6.36,0.04,2.7,552,7.72,216,1.39,NA,NA
Haverhill,Control1,0.96,5.39,NA,1.2,NA,24.65,10.18,5.23,0.01,1.9,450.3,7.83,252,1.89,NA,NA
Haverhill,Control1,1.06,7.55,NA,1.46,NA,21.01,10.91,5.68,0.02,2.4,536.4,7.8,242,1.72,NA,NA
Haverhill,Control1,NA,13.11,NA,2.75,NA,4.28,8.08,,0.05,2.55,504.6,7.95,180,1.69,NA,NA
Haverhill,Control2,2.19,26.12,6.42,2.2,NA,25.57,,4.56,0.01,1.5,461.1,7.83,306,1.32,NA,NA
Haverhill,Control2,3.42,53.19,19.95,3.32,NA,21.42,8.28,6.66,0.01,2.65,526.5,7.85,275,1.5,NA,NA
Haverhill,Control2,1.55,14.53,0.63,1.32,NA,24.02,7.62,6.59,0.02,2,488.7,7.78,321,1.38,NA,NA
Haverhill,Control2,3.23,67.34,27.03,3.32,NA,,6.9,8.41,,3,481.8,7.86,237,1.61,NA,NA
Haverhill,CanolaMeal50kgha,6.63,53,14.92,8.85,25.23,3.16,6.72,8.86,0.08,2.75,493.2,7.86,232,1.55,25000,3.04
Haverhill,CanolaMeal50kgha,6.55,64.13,19.1,10.55,32.04,2.57,5.5,8.55,0.09,2.35,475.5,7.89,216,1.51,25001,3.041
Haverhill,CanolaMeal50kgha,5.88,74.81,23.11,7.48,19.76,3.49,9.53,8.53,0.06,2.35,450,7.88,211,1.69,24999,3.039
Haverhill,CanolaMeal50kgha,3.13,34.56,7.99,2.93,1.58,,10.77,,0.02,1.8,525.3,7.8,,1.44,25000,3.04
Haverhill,CanolaHull50kgha,7.85,58.61,12.86,9.15,26.45,3.69,9.94,8.35,0.06,2.1,467.4,7.86,261,1.91,25000,0.55
Haverhill,CanolaHull50kgha,5.61,57.6,12.58,7.01,17.88,4.51,9.94,8.79,0.07,2.05,516.3,7.85,283,1.84,25001,0.551
Haverhill,CanolaHull50kgha,6.44,53.79,11.49,7.81,21.1,7.58,10.14,9.31,0.05,2.2,497.1,7.87,278,1.89,24999,0.549
Haverhill,CanolaHull50kgha,6.79,48.21,9.91,10.78,32.96,2.73,,9.88,0.06,1.95,479.7,7.88,280,,25000,0.55
Haverhill,Manure50kgha,6.14,57.33,20.85,9.89,29.41,2.28,5.98,9.35,0.09,2.35,497.7,7.9,208,1.64,25000,2.17
Haverhill,Manure50kgha,3.55,48.29,16.57,NA,NA,4.06,6.58,10.86,0.16,2.8,490.2,7.91,237,1.92,25001,2.171
Haverhill,Manure50kgha,7.26,67.11,25.48,9.96,29.7,2.8,5.95,10.4,0.06,2.6,533.7,7.91,216,1.71,24999,2.169
Haverhill,Manure50kgha,7.24,52.5,18.56,9.56,28.08,4.74,7.8,10.09,0.09,2.45,521.7,7.9,225,1.76,25000,2.17
Haverhill,Willow50kgha,8.25,55.14,10.31,14.74,48.8,4.6,,9.06,0.09,2.65,484.8,7.93,209,2.87,25000,0.17
