Block,Treatment,LPO4,LNO3,LNH4,Biomass,Grain,Straw,Nuptake,Puptake,SNO3,SNH4,SPO4,ResinP,WatSolP,TotalP,pH,EC,OC
Block1,Control1,0.00,1.12,0.03,7.79,2.81,4.98,150.87,20.41,5.36,1.73,6.10,,7.65,512.63,7.20,139.00,1.64
Block2,Control1,0.00,1.02,0.04,10.69,3.75,6.94,119.24,14.73,11.00,2.09,7.15,,8.05,478.33,7.25,140.00,1.67
Block3,Control1,0.03,0.34,0.03,8.88,3.52,5.36,195.07,27.18,6.90,2.34,8.33,,7.95,513.87,7.07,102.00,1.55
Block4,Control1,0.01,1.84,0.02,8.74,4.35,4.39,136.53,21.62,6.24,3.88,5.26,,8.20,503.67,7.44,131.00,1.41
Block1,Control2,0.00,0.98,0.06,9.64,3.85,5.79,99.51,19.77,10.05,1.41,7.62,,6.45,512.32,7.14,156.00,1.70
Block2,Control2,0.00,2.84,0.03,9.11,3.93,5.18,170.75,29.48,6.73,2.59,5.08,,8.55,512.63,7.17,129.00,1.52
Block3,Control2,0.00,0.48,0.02,11.18,4.41,6.77,146.05,21.27,7.04,3.59,3.99,,7.05,512.63,7.07,77.00,1.49
Block4,Control2,0.00,4.99,0.04,8.16,3.52,4.64,152.21,28.34,12.46,3.81,4.57,,7.80,572.58,7.51,258.00,1.50
Block1,CanolaMeal,0.03,1.19,0.09,8.86,3.71,5.15,100.37,22.84,6.70,2.28,6.53,,7.55,497.80,7.04,110.00,1.49
Block2,CanolaMeal,0.06,4.94,0.18,12.17,4.46,7.71,127.82,15.36,40.34,4.02,11.09,,9.00,572.58,6.85,178.00,1.80
Block3,CanolaMeal,0.00,0.75,0.04,12.33,4.91,7.42,113.69,23.82,8.67,2.44,4.75,,7.30,546.93,7.12,88.00,1.77
Block4,CanolaMeal,0.01,0.12,0.03,9.24,2.25,6.99,153.88,21.33,7.75,5.69,6.70,,9.00,514.18,7.66,132.00,1.64
Block1,Manure,0.04,2.27,0.12,12.93,5.17,7.76,124.41,14.59,5.80,2.58,12.68,,8.70,537.35,7.23,110.00,2.04
Block2,Manure,0.04,1.03,0.08,12.72,4.47,8.25,123.19,26.10,3.43,2.72,17.23,,12.25,561.76,7.13,98.00,1.84
Block3,Manure,0.00,0.03,0.03,11.94,4.57,7.37,145.48,26.79,4.53,2.06,11.00,,9.80,528.39,7.03,85.00,1.48
Block4,Manure,0.02,1.33,0.04,11.06,3.41,7.65,165.82,16.53,7.57,3.39,5.87,,8.70,491.93,7.53,129.00,1.55
Block1,Willow,0.01,3.24,0.05,11.58,5.04,6.54,199.34,20.40,6.08,2.11,11.81,,10.30,527.15,7.14,155.00,2.80
Block2,Willow,0.00,6.51,0.03,11.90,4.81,7.09,144.74,20.90,5.46,2.60,6.79,,7.75,489.46,7.18,152.00,1.98
Block3,Willow,0.04,5.52,0.07,10.25,4.41,5.84,221.86,26.73,27.15,3.33,7.73,,7.90,478.02,6.98,165.00,2.61
Block4,Willow,0.01,1.29,0.05,10.08,4.29,5.79,166.46,25.47,10.90,5.53,4.42,,8.45,608.73,7.66,262.00,1.81
Block1,MBMACoarse,0.03,1.25,0.09,12.53,4.92,7.61,94.24,21.88,3.30,2.34,9.13,,9.65,524.06,7.21,138.00,1.55
Block2,MBMACoarse,0.07,0.41,0.11,14.73,5.51,9.22,107.07,19.90,2.95,2.45,14.54,,10.95,582.16,7.08,120.00,1.75
Block3,MBMACoarse,0.03,0.93,0.06,14.38,5.71,8.67,155.56,24.60,5.76,2.57,17.04,,12.20,682.58,7.08,96.00,1.90
Block4,MBMACoarse,0.03,2.30,0.07,14.06,5.80,8.26,137.43,18.73,12.78,4.01,10.84,,9.45,562.07,7.34,275.00,1.84
Block1,MBMAFine,0.00,2.05,0.06,9.32,3.56,5.76,104.71,30.87,7.70,2.43,6.36,,10.20,484.20,7.24,136.00,1.53
Block2,MBMAFine,0.01,0.94,0.04,10.10,4.10,6.00,159.10,24.33,4.34,2.63,7.31,,8.85,584.94,7.31,101.00,1.70
Block3,MBMAFine,0.00,4.67,0.08,13.09,4.63,8.46,144.79,19.79,20.32,4.23,14.59,,9.95,706.99,7.05,106.00,1.66
Block4,MBMAFine,0.04,1.43,0.05,10.92,4.43,6.49,131.12,28.64,8.39,3.04,4.49,,8.00,485.13,7.12,164.00,1.57
Block1,Phosphorus,0.01,1.48,0.06,11.41,4.58,6.83,96.15,26.80,5.19,1.92,14.03,,10.55,567.02,7.46,277.00,1.66
Block2,Phosphorus,0.02,0.93,0.05,13.18,4.93,8.25,116.86,22.18,3.42,3.47,8.53,,8.80,479.57,7.15,73.00,1.63
Block3,Phosphorus,0.07,1.11,0.05,11.57,5.21,6.36,207.75,47.26,8.43,2.22,12.69,,11.40,665.90,6.98,106.00,1.78
Block4,Phosphorus,0.03,0.53,0.04,13.93,5.47,8.46,147.14,25.05,8.64,2.33,18.76,,16.20,591.43,7.06,102.00,1.73
