Block,Treatment ,Biomass,Nuptake,Nrecovery,Puptake,Precovery,NO3,PO4,WatSolP,ResinP,pH,EC,OC,CharPRate,CharPerc
Block1,Control1,306.8,8.7,,0.47,,16,16.62,4.4,0.31,7.35,329,1.59,NA,NA
Block2,Control1,716.8,21.85,,1.59,,12.26,15.47,3.25,0.28,7.37,365,1.46,NA,NA
Block3,Control1,495.2,15.74,,0.96,,11.59,7.59,1.95,0.24,7.58,361,1.42,NA,NA
Block4,Control1,496,13.25,,0.82,,31.58,9.85,2.1,0.22,7.78,378,1.38,NA,NA
Block1,Control2,601,17.61,2.72,0.92,,29.65,14.1,3.65,0.26,7.48,431,1.62,NA,NA
Block2,Control2,560.8,17.45,2.56,1.11,,28.31,12.24,4.45,0.31,7.54,384,1.57,NA,NA
Block3,Control2,484,13.27,-1.62,0.82,,20.06,16.53,4.75,0.47,7.31,281,1.71,NA,NA
Block4,Control2,716,27.9,,2.06,,44.05,18.81,6.8,0.42,7.69,487,1.71,NA,NA
Block1,CanolaMeal,256.4,6.79,-4.87,0.36,-3.46,27.81,17.67,4.25,0.41,7.23,247,1.9,25000,3.04
Block2,CanolaMeal,555.8,16.78,1.14,0.96,-1.09,19.15,15.66,4.35,0.29,7.13,217,1.65,25000,3.041
Block3,CanolaMeal,715.8,24.2,5.6,1.73,2,,18.79,6,0.3,7.09,446,1.92,25000,3.039
Block4,CanolaMeal,444,15.54,0.39,1.09,-0.57,22.78,7.72,1.4,0.14,7.76,374,1.41,25000,3.04
Block1,Manure,725.2,22.61,4.64,1.46,0.91,35.39,10.94,2.8,0.27,7.57,329,1.5,25000,0.23
Block2,Manure,509.4,18.58,2.22,1.36,0.52,36.61,20.49,6.3,0.4,7.51,357,1.54,25000,0.229
Block3,Manure,604,19.28,2.64,1.35,0.5,40.51,16.09,2.9,0.27,7.11,354,1.56,25000,0.231
Block4,Manure,372,,,,,46.14,15.64,2.8,0.41,7.61,348,1.65,25000,0.23
Block1,Willow,387.2,11.48,-1.11,0.67,-2.24,19.77,14.14,2.8,0.32,7.05,229,1.55,25000,0.17
Block2,Willow,550.4,16.06,0.38,1.03,-0.8,10.78,11.43,3.45,0.32,7.12,171,1.46,25000,0.171
Block3,Willow,779.4,26.78,3.89,2.05,3.29,14.66,9.3,2.15,0.24,7.31,193,1.52,25000,0.169
Block4,Willow,637.2,23.03,2.66,1.58,1.41,9.96,14.1,3.7,0.32,7.84,245,1.58,25000,0.17
Block1,MBMACoarse,663,19.7,4.79,1.12,-0.44,47.64,13.29,3.5,0.14,7.41,538,1.57,25000,12.7
Block2,MBMACoarse,553.6,18.76,3.86,1.19,-0.18,17.53,16.34,5.15,0.64,7.29,210,1.52,25000,12.71
Block3,MBMACoarse,555,18.52,3.62,1.19,-0.15,27.7,18.56,3.25,0.43,7.34,327,1.63,25000,12.69
Block4,MBMACoarse,563.4,21.57,6.65,1.52,1.16,43.76,16.06,2.85,0.23,7.66,459,1.49,25000,12.7
Block1,MBMAFine,769.2,23.2,8.29,1.25,0.1,19.94,12.18,3.05,0.33,7.51,,1.63,25000,17.7
Block2,MBMAFine,552.4,15.99,1.1,1.03,-0.8,30.46,11.75,3.05,0.35,7.32,377,1.34,25000,17.71
Block3,MBMAFine,451.8,15.29,0.4,1.06,-0.67,23.87,10.91,3.55,0.26,7.65,389,1.5,25000,17.69
Block4,MBMAFine,554,19.1,4.2,1.29,0.26,47.05,19.44,3.6,0.36,7.59,399,1.6,25000,17.7
Block1,Phosphorus,579.2,15.99,1.1,0.9,-1.33,27.75,12.66,3.75,0.42,7.06,237,1.4,25000,19.4
Block2,Phosphorus,801.6,26.93,12.04,1.85,2.47,32.51,27.5,,0.76,7.4,326,1.7,25000,19.39
Block3,Phosphorus,693.2,25.02,10.13,1.66,1.73,11.24,6.36,2.15,0.23,7.37,179,1.39,25000,19.41
Block4,Phosphorus,393.4,14.36,-0.52,0.95,-1.1,17.89,12.3,2.75,0.36,7.71,345,1.66,25000,19.4
