"","Var1","variable","Covariance","treatment"
"1","Drywt","Drywt",0.113338230712162,"CanolaHull10tha"
"2","NO3","Drywt",0.0542966862002833,"CanolaHull10tha"
"3","NH4","Drywt",0.337231538960074,"CanolaHull10tha"
"4","PO4","Drywt",-0.0365674234446378,"CanolaHull10tha"
"5","ResinP","Drywt",0.0473224855325419,"CanolaHull10tha"
"6","WaterSolP","Drywt",-0.0341705009174755,"CanolaHull10tha"
"7","TotalP2","Drywt",0.0499133750427197,"CanolaHull10tha"
"8","Drywt","NO3",0.0542966862002833,"CanolaHull10tha"
"9","NO3","NO3",0.0512977759509668,"CanolaHull10tha"
"10","NH4","NO3",0.0816247276222423,"CanolaHull10tha"
"11","PO4","NO3",-0.0641188364770924,"CanolaHull10tha"
"12","ResinP","NO3",0.00310766848474674,"CanolaHull10tha"
"13","WaterSolP","NO3",-0.0240896907232147,"CanolaHull10tha"
"14","TotalP2","NO3",0.0337283698559734,"CanolaHull10tha"
"15","Drywt","NH4",0.337231538960074,"CanolaHull10tha"
"16","NO3","NH4",0.0816247276222423,"CanolaHull10tha"
"17","NH4","NH4",1.27396321391066,"CanolaHull10tha"
"18","PO4","NH4",0.0408049690613507,"CanolaHull10tha"
"19","ResinP","NH4",0.193635155493564,"CanolaHull10tha"
"20","WaterSolP","NH4",-0.0858610475093139,"CanolaHull10tha"
"21","TotalP2","NH4",0.149665137108273,"CanolaHull10tha"
"22","Drywt","PO4",-0.0365674234446378,"CanolaHull10tha"
"23","NO3","PO4",-0.0641188364770924,"CanolaHull10tha"
"24","NH4","PO4",0.0408049690613507,"CanolaHull10tha"
"25","PO4","PO4",0.0979759417990019,"CanolaHull10tha"
"26","ResinP","PO4",0.0196261806668577,"CanolaHull10tha"
"27","WaterSolP","PO4",0.0241465530395395,"CanolaHull10tha"
"28","TotalP2","PO4",-0.0300555503515586,"CanolaHull10tha"
"29","Drywt","ResinP",0.0473224855325419,"CanolaHull10tha"
"30","NO3","ResinP",0.00310766848474674,"CanolaHull10tha"
"31","NH4","ResinP",0.193635155493564,"CanolaHull10tha"
"32","PO4","ResinP",0.0196261806668577,"CanolaHull10tha"
"33","ResinP","ResinP",0.0394367770829231,"CanolaHull10tha"
"34","WaterSolP","ResinP",-0.00396362996140744,"CanolaHull10tha"
"35","TotalP2","ResinP",-0.00297774194935736,"CanolaHull10tha"
"36","Drywt","WaterSolP",-0.0341705009174755,"CanolaHull10tha"
"37","NO3","WaterSolP",-0.0240896907232147,"CanolaHull10tha"
"38","NH4","WaterSolP",-0.0858610475093139,"CanolaHull10tha"
"39","PO4","WaterSolP",0.0241465530395395,"CanolaHull10tha"
"40","ResinP","WaterSolP",-0.00396362996140744,"CanolaHull10tha"
"41","WaterSolP","WaterSolP",0.0167883790271277,"CanolaHull10tha"
"42","TotalP2","WaterSolP",-0.0335133333471095,"CanolaHull10tha"
"43","Drywt","TotalP2",0.0499133750427197,"CanolaHull10tha"
"44","NO3","TotalP2",0.0337283698559734,"CanolaHull10tha"
"45","NH4","TotalP2",0.149665137108273,"CanolaHull10tha"
"46","PO4","TotalP2",-0.0300555503515586,"CanolaHull10tha"
"47","ResinP","TotalP2",-0.00297774194935736,"CanolaHull10tha"
"48","WaterSolP","TotalP2",-0.0335133333471095,"CanolaHull10tha"
"49","TotalP2","TotalP2",0.0837314274312399,"CanolaHull10tha"
"50","Drywt","Drywt",0.0292851225437255,"CanolaHull10thaTSP"
"51","NO3","Drywt",-0.0100944822309029,"CanolaHull10thaTSP"
"52","NH4","Drywt",-0.0241650457455574,"CanolaHull10thaTSP"
"53","PO4","Drywt",-0.00880711899861344,"CanolaHull10thaTSP"
"54","ResinP","Drywt",0.036701407412413,"CanolaHull10thaTSP"
"55","WaterSolP","Drywt",-0.0676377055066282,"CanolaHull10thaTSP"
"56","TotalP2","Drywt",0.0403794180743992,"CanolaHull10thaTSP"
"57","Drywt","NO3",-0.0100944822309029,"CanolaHull10thaTSP"
"58","NO3","NO3",0.00348151944591109,"CanolaHull10thaTSP"
"59","NH4","NO3",0.00787124197731189,"CanolaHull10thaTSP"
"60","PO4","NO3",0.00272065850937512,"CanolaHull10thaTSP"
"61","ResinP","NO3",-0.0123266515629285,"CanolaHull10thaTSP"
"62","WaterSolP","NO3",0.0225365830908538,"CanolaHull10thaTSP"
"63","TotalP2","NO3",-0.0141221515649455,"CanolaHull10thaTSP"
"64","Drywt","NH4",-0.0241650457455574,"CanolaHull10thaTSP"
